Critic,5,100,FALSE,100,Austin Chronicle,Just about as great as a movie's ever gonna be... As for the storytellng, The Godfather is an intricately constructed gem that simultaneously kicks ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,100,ReelViews,The picture is a series of mini-climaxes, all building to the devastating, definitive conclusion... It was carefully and painstakingly crafted. Every major character - and more than a few minor ones - is molded into a distinct, complex individual.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,100,The Hollywood Reporter,Director Francis Ford Coppola, with a strong assist from cameraman Gordon Willis, has done an extraordinary job of capturing period and place.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,100,Chicago Sun-Times,The wedding sequence... is a virtuoso stretch of filmmaking: Coppola brings his large cast onstage so artfully that we are drawn at once into the Godfather's world.,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,100,San Francisco Chronicle,In scene after scene -- the long wedding sequence, John Marley's bloody discovery in his bed, Pacino nervously smoothing down his hair before a restaurant massacre, the godfather's collapse in a garden -- Coppola crafted an enduring, undisputed masterpiece. [21 Mar 1997, Daily Datebook, p.C3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,joey-clemenza,"I find some negative reviews to be pointless  either yammering on about how ""long"" the movie was"," slow is another one (though many of these reviewers being kids and not quite used to the expository routines of late 60's drama) and committingI find some negative reviews to be pointless  either yammering on about how ""long"" the movie was", slow is another one (though many of these reviewers being kids and not quite used to the expository routines of late 60's drama) and committing the reviewers sin of comparing it to other hyper-spastic (almost cartoonish) crime dramas like Scarface and Pulp Fiction  though exceptional in their own right.  There is a quality of this film that tributes a long forgotten style of story telling within subtlety; the end result a beautifully woven opera of deceit, betrayal, loss and violence. It is and will always be a film that reaches the highest levels of fiction, wherein the film is preformed....and not spoon-fed to the audience. heaven forbid you'd have to do some actual thinking in order to complete a relatively easy 3 hours of story telling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,Scorpion,Violent, well scripted and large, this classic American recounts a dark period in the history of america so perfect and convincing with perfect performances from all his cast this movie will likely be immortal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,Dextrus,This review contains spoilers, click expand to view.                                                                                               This film is simply a classic, look at Brando, the only disappointment for me is that, this is the only film he features in!. It is the making of Al Pacino, he graces the screen, the Godfather perverts Pacino into the dark side, but the process proceeds to ebb away at him . Robert Duval sits in the back ground, but his loyalty to the family shines through, he doesn't win best supporting for this , but easily could have!. Quite frankly, watch this film, a few times, eventually all the detail soaks in. It really is one of the best of all time, once you've seen this, watch the other two, they all for me are classics, learn from them and enjoy!.,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,LoletinAlexis,The Godfather is the perfection of cinematography, with a unique and special gangster style, a respect for the unsurpassed work and a family, a family that revolutionized cinema.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,3,6,TRUE,10,TheRaggedFlygon,The Godfather is, without a doubt, one of the greatest films to have ever been made. The acting by all characters is superb. The plot is convoluted and twisting enough to keep you interested, but not until the point that it becomes too hardThe Godfather is, without a doubt, one of the greatest films to have ever been made. The acting by all characters is superb. The plot is convoluted and twisting enough to keep you interested, but not until the point that it becomes too hard to follow. The cinematography and visual effects are equally impressive. While much of this movie is grounded in reality and thus the visual effects are usually pretty standard, there are a couple of shots that are absolutely amazing for the time.Brando and Pacino's performances of this movie steal the show and both help make this film the masterpiece that it is. In addition, the screenplay is one of the best I have ever seen. Oftentimes, in these crime/mafia films, they tend to run on for too long and the viewer becomes bored. Despite being a three hour movie, not only was I glued to the edge of my seat each time, but each scene felt integral to the story and themes that the film is trying to tell. Further, it feels as if every single *action* taken by a character has an impact on either a theme or the outcome of the movie. This level of screenplay has not been matched by another film that I have seen.In addition the cinematography of this film has resulted in several of the most iconic scenes in all of cinema being brought to the big screen. The number of quotes, iconic scenes, jokes, and memes that came from this film is absolutely amazing.Whether it is the greatest movie of all time or not, The Godfather is a must see film that has had one of the greatest impacts on modern society and popular culture out of all the films that have ever been made. This is a must see for anyone who enjoys cinema.,,,,,,,,,,,,,,,,,,,,,,,,,,
User,3,6,TRUE,10,Luis,The first time I saw this movie, when it first came out 33 years ago, I left the theater after one hour or so, I was bored and confused, perhaps I was too young for this film. Today I consider the Godfather to be the best movie ever, The first time I saw this movie, when it first came out 33 years ago, I left the theater after one hour or so, I was bored and confused, perhaps I was too young for this film. Today I consider the Godfather to be the best movie ever, I'm a fan of the film and I know every character and detail. Of course I seen it a hundreds times, in fact it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,3,6,TRUE,10,MaxR.,Perfect.,,',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,T.G.,Simply put, awesome movie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,3,6,TRUE,10,KellyA.,Is there really anything better?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,HeathQ.,This is a perfect score movie for a reason, it is the best movie that has ever been concieved. The score of 80 is not counted as it is an uncerdited and therefore and not from any professional critic, it should be put amongst the user This is a perfect score movie for a reason, it is the best movie that has ever been concieved. The score of 80 is not counted as it is an uncerdited and therefore and not from any professional critic, it should be put amongst the user reviews. As for people giving this film a 0/10 I am quite sure that you are pathetic little people that live their lives on the net and hang shit on any movie with any substance or critical acclaim. The impact of this movie, considering it was made in 1972 still has great affect. My sister watched this movie for the first time just a couple of weeks ago and for someone who thinks Legally Blonde is a good movie to say this is one of the best films she has ever seen just proves it is excellent. Coppolla is a legendary filmmaker, many should take a leaf from his book.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,MarkS.,Excellent movie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,LonChaney,This movie is the best ever, and it shows its cinematic screenplay brilliance as well as its incredible, dynamic script, a great, amazingly-told storytelling, and a remarkable cast. Marlon Brando and Al Pacino star in this four-star crime drama.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,JohnDawkins,Absolutely unmatched in its immersiveness. The opening wedding sequence is possibly the finest exposition of any film I've ever seen. This is a film that needs to be shown on the big screen every couple of years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,nickt,I think this the best movie ever made. Ths is the #1 in gangster films. #1 in movies all around. THIS IS THE BEST MOVIE EVER!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,MattD.,One of the best movies ever along with Godfather II, and other classics...Marlon Brando shows off his range and acting versatility by transforming from being a '50s American actor to a convincingly Italian mafia man. I first thought he One of the best movies ever along with Godfather II, and other classics...Marlon Brando shows off his range and acting versatility by transforming from being a '50s American actor to a convincingly Italian mafia man. I first thought he was Italian, and I was surprised how un-italian he was prior to his role. So good, that he would adopt this speech into his everyday talk for the rest of his life. That man was a legend. Pair him up of Al Pacino, who was a budding star, and now legend (though he has plateaued ever since Scent of a Woman, when he won an Oscar for saying Huah!, when it really should've been for this role, or as Tony Montana in Scarface, in Dog Day Afternoon, in Carlito's Way, or other). Pacino is startling brilliant as a seemingly normal young man who reluctantly joins the mafia, but then takes over the family business and runs it like his own after it was passed down from Brando. James Cahn was absolutely phenomenal as the hotheaded Sonny Corleone, and Jon Cazale as the weak-minded brother Fredo. This movie changed the gangsta movie landscape giving a third dimension to previous cop-bad guy, go kill movies, and really gives an insight of what they are about, that being loyalty, trust, bonding, and later turns into power, corruption, greed, and eventually the downfall of Michael Corleone. None of them are the typical good guy, but all of them are interesting as characters and it engages you wholly into the film and thrusts you into the dialogue, making you never want to take a bathroom break. This is what makes a classic, and if you don't understand the concept of this, than you don't know movies.,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,Hope,This movie is possibly the best movie off all time. It has all of the element of a great timeless classic. It has big stars/soon to become big stars, a great director and an amazing plot! It rightly deserves to be number one!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,KyleF.,Great Movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,KarlK.,Best movie ever!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,Sachi,To simply put it, The Godfather is an film that is honed to prefection. It is so good that I no longer have words to describe how amazing the film is. Pure greatness. The Godfather gets just about everything right in this compellingTo simply put it, The Godfather is an film that is honed to prefection. It is so good that I no longer have words to describe how amazing the film is. Pure greatness. The Godfather gets just about everything right in this compelling masterpiece that will be forever remembered and emulated, the godfather of modern films. I can see why this film is so big, so revolutionary, so influential. No other film stands a chance against this monster of a film. The acting is top-notch and the plot, the plot is amazing with a crime-epic tale that will always be remembered, immortalized forever. Al Pacino and Marlon Brando give stellar performances in their greatest movie ever. The amount of emotion in The Godfather is amazing too as the you clearly feel each character's emotion and are drawn into it. The moments staying forever in your mind because it is so amazing. The Godfather reinvents the way I look at movies, my view of them has changed forever as I see how masterful this film is. It crushes every other film, no other film will ever come close to knocking The Godfather off its pedestal of greatness. Flaws, this sounds mundane but I cannot say it any other way, there are like ZERO flaws in the film. I scrutinized but could not find any at all. The good aspects deeply mask the film's bad aspects so a perfect movie has been created in a sense, that is amazing. I have not given a movie a perfect 10 out of 10, I have not seen a movie worthy of the all-time high but that changes with The Godfather and it is well deserved. Overall, The Godfather is a flat-out amazing film that will always be beast and smoke every other movie out there," this film will be a film that everyone will mention when asked ""what do you think are the greatest movies of all time?"". The Godfather is pure perfection of films honed to the highest aspects. This is not a great movie", this is a revolutionary film," I love it. Breakdown for ""The Godfather"": Presentation: 10", Plot: 10, Acting: 10, Script: 10, Lasting Appeal: 10, Verdict: 10 out of 10," ""Masterpiece""", the best movie I have ever seen.,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,Tyranian,This has to be amongst the best films ever made, sublime in every way. Magnificent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,3,6,TRUE,10,Djparava24,Amazingly done by Francis Ford Coppola.Al Pacino is a legend whereas Marlon Brando is an ultra Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,MrFugiReviews,If not the greatest movie ever made, than certainly the greatest gangster drama movie ever made. You have probably heard that bin said before, and well, it's quite true. Now, if your a critic, you pretty much have to like this movie, even ifIf not the greatest movie ever made, than certainly the greatest gangster drama movie ever made. You have probably heard that bin said before, and well, it's quite true. Now, if your a critic, you pretty much have to like this movie, even if you didn't. I certainly did like it because, one, it gives great performaces, especially by the great Marlon Brando, and it has a tremendous screenplay that goes deep within its drama and plot points. Thrilling also,The Godfather is probably one of the best movies of the 20th century, and if you haven't already seen it, go get it and watch it. 10/10 [R],,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,OscarOrNot,Like Babe Ruth is to baseball, like John Steinbeck is to writing, their is no doubt about it, The Godfather is the greatest film of all time. Never before have we seen performances so stellar, by Marlon Brando, Al Pacino, James Caan, RobertLike Babe Ruth is to baseball, like John Steinbeck is to writing, their is no doubt about it, The Godfather is the greatest film of all time. Never before have we seen performances so stellar, by Marlon Brando, Al Pacino, James Caan, Robert Duvall, and everyone else! The Godfather has little life lessons everywhere. Along with an engaging plot, that just completes the most critically acclaimed film of all time. The Godfather is Francis Ford Coppola's masterpiece.,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,3,inaneswine,I'm not going to try and insult audiences who have loved this film for over 40 years by telling you this is a bad film - it was just never meant for me. I personally found it to be one of the most intensely boring films I have seen in aI'm not going to try and insult audiences who have loved this film for over 40 years by telling you this is a bad film - it was just never meant for me. I personally found it to be one of the most intensely boring films I have seen in a while. I suppose it's the genre I have a problem with: crime and gangster films seldom interest me. This one is no different.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,4,Brian_McInnis,I've never before been bored by a slow-moving film. Ever so much more weight is put on the horse-head scene than it supports. A husband-wife fight is phoney, weak, amateur and isn't even peanuts compared to any such scene by Scorsese. AI've never before been bored by a slow-moving film. Ever so much more weight is put on the horse-head scene than it supports. A husband-wife fight is phoney, weak, amateur and isn't even peanuts compared to any such scene by Scorsese. A curly-haired guy beats a guy up and it looks as fake as the fakest action I've ever seen; it was so bad it was hysterical. As in the faintly superior sequel, Robert Duvall's role consists almost entirely of standing around looking mildly concerned. Early scenes with Brando are effective enough, but not a whole lot else is. That curly-haired guy gets shot by a whole buncha guys later on and some friends asked me if I understood how and why the ambush happened as though I could possibly care why it happened or who he was. I heard one person complain that the film 'insists on itself', but it seemed to me more like it didn't even care it existed. At the moment, this movie has nearly five hundred and fifty thousand votes on I.M.D.B., but 'Goodfellas' has only three hundred and twenty-five thousand and 'Casino' barely over a hundred and fifty thousand. Sad. But Francis Ford went on to make an infinitely better film only seven years later, and his daughter an unutterably better one three decades later, and so the Family thrives.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,g,A masterpiece. How can the Earth continue without Coppola's The Godfather. One of the most iconic films ever talked about worldwide and acclaimed well by everybody, it's more fun to talk about it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,TRUE,5,PodreySanchez,I watched it. Didn't like it. I found myself bored 30 minutes into the party scene at the start of the movie. Not as good as i thought it would be. I had a better time watching Goodfellas, The Departed, Scarface, Once Upon A Time In America.I watched it. Didn't like it. I found myself bored 30 minutes into the party scene at the start of the movie. Not as good as i thought it would be. I had a better time watching Goodfellas, The Departed, Scarface, Once Upon A Time In America. there good gangster movies. I just don't get why people love it so much.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,Swati,Inspired by the Five Families of New York City, The Godfather tells the story of how the Corleones are pushed against the wall by their rivals and other upcoming gangsters who want to make money by sources Don Vito deems beneath him, andInspired by the Five Families of New York City, The Godfather tells the story of how the Corleones are pushed against the wall by their rivals and other upcoming gangsters who want to make money by sources Don Vito deems beneath him, and their retaliation and its consequences. Alliances are formed in secret, murders are plotted, enemies are butchered or blown to pieces without remorse.  Don Vito (Marlon Brando) and his sons Sonny (James Caan) and Michael (Al Pacino) are the main characters. The actors bringing them to life have succeeded in their jobs so supremely that these characters have become the stuff of legend. Don Vito's backstory from the novel was pushed into The Godfather Part II, and that was a practical decision as the movie was already three hours long. Sonny and Michael display their acumen for running criminal activities when the reins are handed to them in their turn. Tom Hagen (Robert Duvall) is the consigliere, or the most trusted adviser, of the Don.  We are transported from 1940s NYC ripe with Mafia bosses one-upping each other, to Sicily and Las Vegas. The characters are never shown to traverse great expanses of land or sea in search of destiny or whatever. Neither are they shown to be engaging in life-or-death situations where they have to come out on top using their wits or physical strength or endurance. But the change of settings does meet the requirements of the epic genre. Even though we don't get to see large scale gunfights or something like that, the fact that the Corleones are in all these places helps to form that opinion. The story is essentially about a single family, and you get the impression that the message here is that family is important, and that the lengths you're willing to go to to protect them knows no bounds.  The Corleones' peace is fazed when a gangster offers them a deal in drugs. Don Vito expresses his disgust and refuses. This triggers an unexpected ploy for gaining power and upper hand and turns the conflict into a fully fledged gang war. Some characters are displaced, forced to take up arms, or caught in the crossfire. Another calamity strikes when things seem to have cooled down. Finally, the Corleones deal with their enemies effectively and ruthlessly. The victory is theirs, but if it is worth it is for the audience to decide.  The Godfather's success lies in its rich story and characters. Often times, great stories come about by accident. The setting complements the plot and the characters, and becoming a character itself, creates a blend that is greater than the sum of its parts. These characters and plot could quite easily have worked in a medieval setting of dynasties warring for control over a kingdom, or any other setting for that matter, but the fact that the setting was New York City and the control over the city meant control over the most lucrative criminal activities, which is a decadent scheme, and immediately paints even the good guys in a bad light, was what in my opinion made The Godfather much more intriguing and enduring.  There are many enemies to deal with. The film doesn't develop them at all. The Corleones are the only ones who are explored and developed as characters. At first it seems like it is a story of a group of people who have virtually everything they could ever want and the film would only chronicle their exploits as they vanquish this enemy and that. This changes as we move forward and witness the bloodshed.  No good movie can come into being without good plotting, believable characterization, classy cinematography and memorable dialogue, and here it is all brought together nigh perfectly. The production design was impressive. The houses and their interiors, and the cars and costumes were fascinating and left me with a desire to be able to witness that world firsthand. The secondary characters may not have seemed to be given much screen time to develop them but the cast is so huge that if they had done it the movie would have been at least an hour longer. The score is so simple and true to the story that you don't need me to tell you that it may be the most memorable score ever.  A lot of time is spent in contemplation and silence, as the characters decide what the best course of action should be in response to a particular problem. The dialogue fleshes out the characters very well. The Godfather is essentially a film that looks into the lives of the gangsters at the top of the hierarchy. We only see the comings and goings, and not the handiwork, of the men who carry out the orders of their bosses. No shootouts during the gang war are shown. The intrigue that directly affects the main characters is in itself so destructive and deadly that not once the exclusion of the ordinary mobsters bother me in any way.  The Godfather cannot be dismissed as being merely about a mob family and a bunch of criminals. Given his later career, I think it's safe to venture that Coppola was born to make this movie.,,,,,,,,,,
User,5,10,FALSE,10,ibadukefan,I'm not a writer or a critic so I can't really tell you why this movie is perfect... but I know it is because of how I feel every time I see it.  I'm moved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,Karl7nitram,This review contains spoilers, click expand to view.                                                                                               The Godfather is simply the god of films, it was a privilege to watch the Oscar winning performance of Marlon Brando, who conquered the role Vito Corleone. The film was a different class and is filled with incredible plots that is delivered in a fantastic mafia way. I recommend it to everyone even if they aren't into the gangster style films, it was no doubt the greatest film ever made. Each character resonates with you and the brilliant anti-hero role of Michael Corleone was a true gift to watch, which Al Pacino does not get enough credit for and was a genius replacement for Vito his father who's character was very difficult to equal. The scene in the restaurant between Michael, Sollozzo and McCluskey was magnificent and couldn't have been done any better, the suspense was outstanding from the bit Michael came back with the gun to the part he left the table with bullets in both men. When talking about leading you into movies, the Godfather pulled you in straight away the acting from Brando was intriguingly flawless. The first scene straight away brought the character Vito Corleone to life! We were never sure what Vito would say or what Michael would do, or how Sonny would react, which made me fall in love with the movie. And of course a big hand to the director Francis Ford Coppola, who brought us a film of pure gold that bestows the control of power from one generation to the other and character development of Michael was something special, when his father was shot the change took you by storm and when Sonny died he looked past justice and finished what his father had started, it was displayed with no fault what so ever and t all in all could not have been any better. The film take's you down the road of the powerful family crime dynasty and will blow your mind. The Godfather, is an offer you can't refuse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,10,Mosh603,The thing I love about The Godfather is the accurate portrayal of the mafia. There aren't gratuitous scenes or extreme Hollywood drama. It is a timeless classic, and honestly I have seen it 50+ times and never get sick of it. Marlon Brando'sThe thing I love about The Godfather is the accurate portrayal of the mafia. There aren't gratuitous scenes or extreme Hollywood drama. It is a timeless classic, and honestly I have seen it 50+ times and never get sick of it. Marlon Brando's performance as Vito Corleone is impeccable and some of the best acting I have ever seen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,9,jamiecusack,it might be a long movie but you dont want it to end. The best gangster film of all time no doubt marlon brando improvisation made this move,and the movie is joined with 2 other amazing films which makes it the best triolgy. Al pacino as perit might be a long movie but you dont want it to end. The best gangster film of all time no doubt marlon brando improvisation made this move,and the movie is joined with 2 other amazing films which makes it the best triolgy. Al pacino as per usual at his best its a young al  pacino that you see another rang of his brilliant acting skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
